Date,Samsung,Hyundai,SKHynix,KaKao,Naver
2020-10-22,-0.013223333,-0.018293193,-0.005984458,-0.012808413,-0.015241616
2020-10-23,0.001662511,0.027315811,0.007177064,-0.026134408,-0.022434073
2020-10-26,0.003316753,0.026589454,-0.008378266,-0.031361637,-0.017606089
2020-10-27,-0.009983444,0.00581397,-0.007237667,0.013561312,0.007079676
2020-10-28,-0.013468217,0.005780363,0.003625382,0.036742622,0.05155781
2020-10-29,-0.01537178,-0.020379162,-0.01458106,-0.010159561,0
2020-10-30,-0.026156679,-0.032887867,-0.022278149,-0.038633479,-0.02888901
2020-11-02,0.014035318,0.035824727,-0.00376176,0.013540975,-0.015638894
2020-11-03,0.024097552,0,0.02236118,0.005969724,-0.008795131
2020-11-04,-0.005115101,0.00584797,0.021872075,0.06610948,0.053323035
2020-11-05,0.030305349,0.020202707,0.034262064,0.009695491,0.001673641
2020-11-06,-0.003322262,-0.026050677,0.002320187,0.020445609,0.006666691
2020-11-09,0.001662511,0.01166194,-0.003482302,0.002699238,-0.010016778
2020-11-10,0,0.005780363,0.005797118,-0.042616758,-0.051646589
2020-11-11,0.018107491,0.011461444,0.005763705,-0.001414477,-0.010657294
2020-11-12,-0.004905979,-0.008583744,0.012564414,0.005618071,-0.003577821
2020-11-13,0.035430437,0.01991531,0.017998236,0.022134616,0.007142888
2020-11-16,0.047885596,0.008415197,0.08849671,-0.009628826,-0.010733556
2020-11-17,-0.009090972,0.019364367,0.001019888,0,-0.010850016
2020-11-18,-0.013793322,-0.016574965,-0.001019888,0.009628826,0.021583572
2020-11-19,-0.003091193,0.002781643,0.002038737,0,-0.001780944
2020-11-20,0.001546791,-0.016807118,-0.014359221,0,0.001780944
2020-11-23,0.042366396,0.011236073,0.032523192,0.004094547,0.001777778
2020-11-24,0.002958582,0.011111225,-0.014098924,0.016212568,0.003546103
2020-11-25,-0.016381602,-0.008321823,-0.01430055,-0.016212568,-0.014260491
2020-11-26,0.020803128,-0.002789402,0.022381402,0.018893732,0.02482397
2020-11-27,0.00293686,0.011111225,-0.006054509,-0.002681163,-0.003508776
2020-11-30,-0.022239612,0.002758622,-0.013245227,-0.01350118,-0.02491232
2020-12-01,0.016357242,0.010959014,0.030305349,0.017513582,0.028421096
2020-12-02,0.024764558,-0.005464494,0.081190155,-0.004012402,-0.007029906
2020-12-03,0.002873565,0.073912258,0.022676709,0.002681163,0.012270093
